Company Name,Role,Base,CTC
SEDEMAC Mechatronics,,,10
ST Telemedia,,,10
Tejas Networks,Software ,,10
UPL,NextGen Intern,,10
UPL,Automation Engineer,,10
UST,,,10
Whirpool,,,10
Zensar,,,10
Zoomcar,DevOps Intern,,10
Signify Innovations India Ltd. (Cooper Lighting Solutions),,,9.87
Havells India Limited ,Power Electronics and Solar Roles,7,9.5
Infosys,Specialist Programmer,,9.5
Infosys,,,9.5
Oracle Financial Services,,,9.5
Oracle 2,,,9.34
PeopleBox,Software Engineer,8,9
Altizon,,,9
Bentley Systems,,,9
Bhoomi Software,,,9
Eaton Supply Chain Management,,,9
Emplay,Associate Data Scientist,,9
Flex Trade,,,9
HSBC,,,9
HummingBird Web Solutions,,,9
Jones Lang Lasalle Technologies,,,9
Metro GSC,,,9
OneSubsea,,,9
Oro Labs.AI Dev,,,9
Principal Global,,,9
TCS R&1,,,9
The Digital Fifth,Analyst,,9
Gensol EPC (Blusmart),,,8.85
EY India,,7.5,8.59
Merkle,Software Engineer,7,8.5
Merkle,Analyst,7,8.5
Aptiv,,,8.5
HelpShift,,,8.5
Merilytics,,,8.5
Quantiphi,Business Analyst,,8.5
Quantiphi,Framework Engineer,,8.5
Quantiphi,Machine Learning Engineer,,8.5
Quantiphi,,,8.5
AstraZeneca,,,8.43
ICICI Bank,Software Engineer,,8.3
Nibrus Technologies,Software Engineer Intern,6.5,8.2
HashedIn Technologies,,,8.1
Krazybee Services,Software Engineer,7,8
JSW Group,Graduate Engineer Trainee,6.8,8
Consilio,Associate,5,8
Morphle Labs,Software Testing Intern,5,8
Bizom,Presales,,8
BlackBuck,Associate Software Engineer,,8
Bounteous x Accolite,,,8
Celstream,Software Engineer,,8
CerenceAl,,,8
Ciklum,,,8
Colgate,Data Analysis,,8
ConSecure ,Software Engineer (Next-Gen Cybersecurity),,8
Crestron,,,8
Digital.ai,,,8
Embitel Technologies,Trainee Engineer,,8
Emerson,,,8
EPAM,Junior Software Engineer,,8
Esyasoft Technologies,Software Engineer Trainee,,8
Honeywell,,,8
HP,GIT Role,,8
KPMG,Consultant Intern,,8
KreditBee,Software Engineer,,8
Kylas,,,8
Media.net,Web Application Developer,,8
Meeraq,Software Intern,,8
National Petroleum Construction Company (NPCC),,,8
Nice,,,8
Nice Systems,,,8
Nihilent,,,8
O9 Solutions,SDET Intern,,8
Panzura,,,8
Principal Global,,,8
Promobi,,,8
Rackware Automation,,,8
Rockwell,,,8
Sedemac,,,8
Shadowfax,,,8
Think41,,,8
Tyfone,Software Engineer,,8
Wissen technology,,,8
Dassault Systems,,,7.8
Mahanagar Gas Limited,,,7.8
Godrej & Boyce,,,7.75
RSM USI,,,7.7
Delloite India,HC HRT,6,7.6
Delloite India,QE,6,7.6
Delloite India,ADMM,6,7.6
Delloite India,M&C,6,7.6
Delloite India,ET&P SAP,6,7.6
Delloite India,FT GBS,6,7.6
Delloite India,ET&P Oracle,6,7.6
Delloite USI,Consulting Analyst,6,7.6
Bizom,Business Development Manager,,7.5
IdeaS- A SAS Company ( Product Success Specialist ),,,7.5
Quorum,,,7.5
Rahi Technolgies,,,7.5
Reliance Industries Ltd,,,7.5
Schlumberger (SLB),,,7.5
Sell.do,,,7.5
Tata Power,,,7.5
Volvo,Associate Graduate Engineer,,7.5
HP,Managed Services,,7.48
Oracle,,,7.27
Sun Life,Gradute Engineer Trainee,,7.25
Evam Labs,Intern,,7.2
Evam Labs,DS/DE/FS/UI,,7.2
Wynum Automation,,,7.1
PhData,Consultant,6.39,7
KPMG,GRCS Telecom,6,7
Webknot Technologies,Software Developer Trainee,6,7
KPMG,Digital Trust,5,7
KPMG, Analyst,5,7
(NTT solutions)SAP,,,7
7-Eleven GSC,Cybersecurity Intern,,7
Accelya,,,7
Bizom,Sales Developement Representative,,7
Cencora,,,7
DeltaX,,,7
DeltaX,,,7
EMIDS,Associate Software Engineer,,7
Entrata,,,7
Equifax,,,7
Fractal analytics,,,7
Honeywell,,,7
Hourglass,,,7
Incubyte,,,7
Mphasis,,,7
Mphasis,,,7
Ninjacart,Tech Intern,,7
Oro Labs. AΙ,,,7
PayU,,,7
Rhythmflow,,,7
Ria Advisory,,,7
TCS Digital,,,7
TCS Digital,,,7
Think 41,Full Stack Engineer,,7
Tyfone,QA Engineer,,7
Xceedance,,,7
NCS Technologies,,,6.82
Cognizant GenC Next,,,6.75
Larson & Toubro,,,6.72
Siemens Limited,,,6.6
Greenway Health India,Associate Software Engineer,5.5,6.5
L7 Informatics,,3.25,6.5
Adani Group,,,6.5
Afcons,,,6.5
Atlas Copco Gecia,,,6.5
Burns & Mcdonnell,,,6.5
Cognizant,GenC,,6.5
EY,Senior Analyst,,6.5
Faurecia Forvia,,,6.5
Hyosung T&D India,,,6.5
Johnson Control,,,6.5
Qualys,,,6.5
Techbulls SoftTech,,,6.5
Technimont,,,6.5
Technip Energies,,,6.5
GW DeepConnect Technlogies,Software Engineer,5,6.48
Siemens Energy,,,6.38
Columbia Sportswear Company,Software Engineer Trainee,,6.26
Textron,,,6.25
CCTech,,,6.2
HomeVille,FullStack Developer,,6.1
Sgurr Energy,,,6.1
CreditAccess Grameen Limited,Data Analyst,5.2,6
Snapmint,Junior Analyst,5,6
Cubic Logics,Software Development Engineer,4.5,6
Tsalla Aerospace,Junior Engineer,4.2,6
BCE Global Tech,Dev,4,6
6D Technologies,AI & Data Science Engineering Intern,,6
Allied Softech,,,6
Bizom,Marketing,,6
Bizom,,,6
Cloudstrats,,,6
ConSecure ,PreSales,,6
Dataeaze,,,6
FleetGaurd Filters,,,6
Fluidyn,,,6
Jacobs,,,6
L&T,Graduate Engineer Trainee,,6
Man Truck,,,6
miniOrange,,,6
Nouveau Labs,Software Engineer,,6
SecPod,Test automation Engineer,,6
Vayavya Lab,,,6
Wafer Space (An ACL Digital Company),,,6
Walter P Moore,,,6
Worley Services India Pvt Ltd,,,5.8
NCS,,,5.62
MathCo (The MathCompany),Trainee Analyst,4.5,5.5
PeopleBox,SDET,4.5,5.5
AmpereHour Energy,,,5.5
Capgemini,,,5.5
Centiro,,,5.5
DoubleTick,,,5.5
Harman,,,5.5
Harman,,,5.5
Jisa Softech,,,5.5
Smile Lab,,,5.5
Tata Consulting Engineers (TCE),,,5.5
Tech Mahindra,Graduate Trainee,,5.5
Thyssenkrupp,,,5.5
Toyo Engineering,,,5.5
Wipro,"Turbo Telecom, Automotive, Embedded & CPPE",,5.5
Ellicium,,,5.1
Cognizant,,,5
ConSecure,Software Engineer - Full Stack Dev,,5
Eximietas Design,Engineer,,5
Healthasyst,Software Developer Trainee,,5
International Design & Engg. Sol.,,,5
Invimatic,,,5
Jones Lang LaSalle Incorporated India (JLL),,,5
Kenscio,Software Developer Intern,,5
Safran Engineering service,,,5
Tsalla Aerospace,Junior Engineer,,5
Winman Software,Software Engineer - L2,,5
IBM,Assoicate System Engineer,,4.75
Winman Software,Software Engineer - L1,3.75,7.2
Accenture,Associate Software Engineer,,4.5
Adani Cement,,,4.5
Ascendion,Associate Engineer,,4.5
Bosch,,,4.5
Cognizant,,,4.5
Healthasyst,Software QA Trainee,,4.5
IBM,,,4.5
Quality Power,,,4.5
TATA Technologies,,,4.5
Telamon,,,4.5
Torrent Power,,,4.5
Capgimini,4.25 LPA Role,,4.25
Enpro Industries,,,4.25
Eram Magnaflux,,,4.25
HCLTech,Graduate Engineer Trainee,,4.25
Rudder Analytics,,,4.2
Shah Technical Consultant,,,4.2
LTIMindTree,Graduate Engineer Trainee,,4.05
Arys Garage,Software Engineer,,4
Cognizant GenC,,,4
Microland,Engineering Trainee,,4
SimplyFI Softech,Innovation Trainee & Innovation Engineer,,4
VRF Aircon Pvt Ltd,,,4
CGI,Associate Software Engineer,,3.92
Nagarjuna Construction Company (NCC),,,3.75
Shapoorji PallonJi,,,3.75
Infosys,Systems Engineer,,3.6
Infosys,,,3.6
Wipro,"Elite - Telecom, Automotive, Embedded & CPPE",,3.5
TCS Ninja,,,3.3
Tech Mahindra,Graduate Trainee,,3.25
